Name,Hours,Location,isFeatured,isNew,Description,Logo,Category
The Bombay Store,All week days - 11am to 10pm.,Grand Galleria,,,"As a contemporary lifestyle store, it specialises in Indianised gifts and home products. The Bombay Store offers its customers an array of beautifully designed products such as fine tableware and luxurious home decor items, pure authentic skin care and home fragrances, silver plated accessories and a stylised range of apparels based on natural hand woven fabrics, using traditional craft skills.",,"Home Decor / Accessories, Gifts , Hobbies"
The Collective,All week days - 11am to 10pm.,Palladium Second Level,,,"The leading lifestyle store for international brands in formal, casual and semi formal wear for men and women. The store has an excellent collection in accessories, shoes and even an in house salon and cafe !",,"Department Stores, Mini Department Store"
The Irish House,All week days - 11am to 10pm.,Courtyard Second Level,,,"A lively pub for beer lovers, sports fanatics and gourmands of the city - The Irish House is your perfect neighbourhood hangout. The ambiance captures the spirit of traditional pubs back in grand old Ireland and emulates that same welcoming feel. The award-winning brand is known for its energetic vibe, friendly service and a great offering. The highlights of The Irish House include a large screen for sports matches, one of the largest bars with beers from all over the world and live events. The food menu brings the right balance of classic and contemporary pub grub with signature items like the Fish n Chips and Grande Nachos.",,"Cafes, Restaurants , Desserts"
The Mobile Store,All week days - 11am to 10pm.,High Street Units,,,"The Mobile Store format is a one stop mobile solution shop that provides, multi brand handsets, accessories, connections, repairs, VAS etc all under one roof. The Mobile Store caters to the Indian consumers choice of the widest and most comprehensive range of mobile phones with special offers from all the key brands available across the globe. The Mobile Store offers complete telecom solutions right from handset purchase to the choice of service operator and miscellaneous services like monthly bill collections etc., the stores also offer connections (pre paid and post paid), accessories and VAS including the latest ring tones, wallpapers and gaming and prompt after sales service, available not only in the city of purchase but in all The Mobile Store outlets across the country.",,"Electronics, Gizmos , Gadgets"
The Raymond Shop,All week days - 11am to 10pm.,Palladium Third Floor,,,"""For over 80 years, Raymond is counted as one of the worlds premier manufacturers of worsted suiting fabric in fine grade wool, in the same league as the finest that Europe has to offer. Today, the Raymond product range includes pure wools, wool blended with exotic fibres like camel hair, cashmere and angora and innovative blends of wool with polyester, linen and silk. Offering suiting and trousering fabric for all occasions and needs.""",,Mens Fashion
The Thai Spa,All week days - 11am to 10pm.,Skyzone 1st Floor,,,"The Thai Spa is one of the leading spa chain in India having a strong presence in the East, and West and gradually making its presence felt in other parts of the nation as well. Dedicated to provide premium spa services, it has been a pioneer in many ways in terms of international tie ups, spreading geographically to B Towns, retaining the best masseurs in business and providing delightful services to a cross-section of clients. With 21 branches spread in various cities like Amritsar, Ahmedabad, Bangalore, Guwahati,Kolkata, Mumbai, Pune,Raipur, Surat and Siliguri, we are coming up in a new site in High Street Phoenix, with new interiors and better facilities.",,"Cosmetics, Salon, Spas , Optics"
"The United Sports Bar , Grill",All week days - 11am to 10pm.,Palladium Third Level,,,"The United Sports Bar , Grill is a full service, casual all-day dining cafe bar that features predominantly western cuisine and local specialties to suit the taste buds of diners across the region. In addition, there is also strong emphasis on creative cocktails, live telecast of sports events, ""live"" entertainment from popular artistes and special themed parties. It is a place where likeminded individuals gather over great drinks and food.",,"Cafes, Restaurants , Desserts"
Thomas Pink,All week days - 11am to 10pm.,Second floor of Palladium mall,,,"Thomas Pink carries on the name and tradition of Mr. Pink, crafting shirts, which enshrine British sartorial heritage. It’s also renowned for luxurious Shirts, silk ties, knitwear, accessories and tailoring. Every Thomas Pink shirt is an exercise in perfection. All our shirts have been crafted to the same exacting standards, keeping alive the impeccable heritage of Londons Jermyn Street, home of traditional British shirt-making. Constructed from the finest-quality two-fold cotton, immaculately cut and finished, Pink shirts are crisp, comfortable and look the part anywhere from the boardroom to the ballroom. The Thomas Pink Store located on the second floor of palladium mall is the second store in the country and houses the famous White shirt Bar.",,Mens Fashion
Tissot,All week days - 11am to 10pm.,Palladium HSU Ground Level,,,Swatch watches are one of the finest swiss watches. They have the widest collection of luxury watches appealing to the high-end consumers.,,"Watches, Jewellery , Fashion Accessories"
Tommy Hilfiger,All week days - 11am to 10pm.,Palladium Second Level,,,American designer wear for casual semi formal wear and accessories for men and women.,,General Fashion
Tommy Hilfiger’s Children Wear,All week days - 11am to 10pm.,Palladium Third Level,,,"The Tommy Hilfiger Group is one of the worlds most recognized designer apparel brands. Their Classic American Cool style is reflected in their preppy americana clothes. They focus on designing and marketing high-quality menswear, womenswear, denim collections, childrens apparel and mens tailored(formal) collections. In addition, the Group offers complementary lifestyle products such as Eyewear, Sunwear, Watches, Handbags, Socks, Small leather goods and Luggage. Merchandise under the Tommy Hilfiger brands is available to consumers in India through an extensive network of franchised free-standing stores and shop-in-shops in more than 65 cities, including New Delhi, Mumbai, Bangalore, Chandigarh and Hyderabad. Tommy Hilfiger Childrenswear is: - First international Childrenswear brand in India - Collection: Youthful, fun and preppy. - Target age group: 2-16 years. - Key Products: Classic polo tees, preppy shirts, shorts, jeans, sweaters, jackets, vests, cute dresses and skirts",,Kids Fashion
Tresmode,All week days - 11am to 10pm.,Grand Galleria,,,"Tresmode, a brand synonymous with uber chic footwear, was launched into the Indian market in 2007 with the first flagship store in Mumbai. Within four years, Tresmode has not only created a presence across the country but also internationally and retails in cities such as Mumbai, Delhi, Pune, Goa, Bangalore, Chennai and Kathmandu. Designed at a studio in Florence, Tresmodes shoes are then manufactured across the world. With young, cool and fashion forward designs, the brand is known for keeping up with the latest trends as seen on the ramps in London, New York, Paris and Milan. Combining state-of-the art quality with edgy design, Tresmode took on European footwear designer Emmanuel Rossi as the Head of Brand Development. What sets Tresmode above the rest is the ability to bring the hottest international styles to the Indian market and ensure that the clientele are being given the best of latest fashion to adorn their feet. Tresmodes versatile collection from party to work wear appeals to the urban clientele whose fashion tastes are constantly evolving. Within a short time, Tresmode has truly established its name and become a celeb favorite with stars such as Bipasha Basu, Deepika Padukone, Genelia Dsouza, Priyanka Chopra, Monikangana Dutta, Minnisha Lamba, Sonam Kapoor, Sushmita Sen, Shahid Kapoor, Vivek Oberoi and Prateik Babbar sporting their shoes.",,"Foot Fashion, Bags, Luggage , Accessories"
Triumph,All week days - 11am to 10pm.,Skyzone Ground Level,,,Triumph International is one of the world’s largest lingerie manufacturers.,,Womens Fashion
"Truefitt , Hill",All week days - 11am to 10pm.,Palladium Third Level,,,"Truefitt , Hill is the oldest barber shop in the world and the only one to hold a Royal Warrant to H.R.H The Duke of Edinburgh. Catering to the exact standards of London’s gentry, when vanity and good grooming were the essential mark of the gentleman, Truefitt offered its demanding clientele a new level of service unsurpassed anywhere in the world. During Truefitt’s unique history the company has had the honour of serving the Monarchs of Great Britain throughout nine consecutive reigns. The Royal connection continues to this day by Truefitt’s barbers who visit either Buckingham Palace or Windsor Castle to attend H.R.H. Many other legendary figures of the world also enjoyed Truefitt’s touch including Charles Dickens, William Thackeray, Lord Byron, Oscar Wilde and many more. Truefitt , Hill also makes a wide range of Colognes, Aftershaves, Shaving creams and accessories, Hair products as well as other bath products. In India Truefitt , Hill is about providing a one-stop-shop for men by providing a unique grooming service, as well as retailing the mens products.",,"Cosmetics, Salon, Spas , Optics"
Trupti,All week days - 11am to 10pm.,High Street Units,,,"Trupti at High Street Phoenix offers a varierty of Indian snacks, mithais, namkeen, samosas, lip-smacking chocolates and pastries, chat items, etc.",,"Cafes, Restaurants , Desserts"
Tryst,"Wednesday, Thursday, Friday, Saturday Operational Hours : 10.00 pm to 01.30 am",Courtyard Second Level,,,Tryst,,
Tumi,All week days - 11am to 10pm.,Palladium,,,"Tumi is the leading international brand of luxury travel, business, and lifestyle accessories. Since its founding in 1975, Tumi has become the brand of choice for the worlds most discerning business professionals, influential thought leaders, sports and entertainment celebrities, and demanding travelers. Tumis luxury travel and business collections are the ultimate in terms of style and performance. Their core collections are modern classics - the epitome of Tumis iconic aesthetics, advanced technology and unparalleled functionality makes it perfect for constant travelers!",,"Foot Fashion, Bags, Luggage , Accessories"
UCB,All week days - 11am to 10pm.,Palladium Third Level,,,"Benetton Group is present in 120 countries around the world. Its core business is fashion apparel. A group with a strong Italian character, whose style, quality and passion are clearly seen in its brand. We offer high quality customer services.",,General Fashion
UCB Kids,All week days - 11am to 10pm.,Palladium Third Level,,,"Benetton Group is present in 120 countries around the world. Its core business is fashion apparel. A group with a strong Italian character, whose style, quality and passion are clearly seen in its brand. We offer high quality customer services.",,Kids Fashion
Univercell,All week days - 11am to 10pm.,Grand Galleria,,,"UniverCell has the first mover advantage and has pioneered its way through the mobile industry. There are 200,000 people buying UniverCell handsets every month. This is the highest of any retailer in India. One out of every three handsets sold in the market is from UniverCell.",,"Electronics, Gizmos , Gadgets"
US Polo,All week days - 11am to 10pm.,Palladium Second Level,,,"Arvinds Lifestyles Energie brand is for people who have been wearing jeans but need something more innovative and premium. U S Polo offers a range of shirts, T-shirts and jeans in the casual and premium range.",,General Fashion
US Polo Kids,All week days - 11am to 10pm.,Palladium,,,"U.S. Polo Assn. brand products are authentic and officially sanctioned by the United States Polo Association, the governing body for the sport of polo in the United States since 1890.",,
Van Heusen,All week days - 11am to 10pm.,Grand Galleria Ground Level,,,"Van Heusen is a premium lifestyle brand for men, women and youth. The brand embodies fashion for the corporate and reflects the current expression of elegance in todays context. Van Heusen believes that the design drivers for the brand are fashion and sophistication. The brand covers all aspects of an individuals clothing needs, be it corporate wear, casual wear, party wear or ceremonial wear, making it a complete lifestyle brand in the truest sense. The core audience is professionals and corporate executives - men and women who are successful, focused, articulate, well-traveled, and confident and have a sense of style about them. They pursue success just as they do their other interests and passions, learning and exploring everything that comes their way.",,General Fashion
Van Heusen (Women),All week days - 11am to 10pm.,Skyzone First level,,,"Van Heusen is a premium lifestyle brand for men, women and youth. The brand embodies fashion for the corporate and reflects the current expression of elegance in todays context. Van Heusen believes that the design drivers for the brand are fashion and sophistication. The brand covers all aspects of an individuals clothing needs, be it corporate wear, casual wear, party wear or ceremonial wear, making it a complete lifestyle brand in the truest sense. The core audience is professionals and corporate executives - men and women who are successful, focused, articulate, well-traveled, confident and have a sense of style about them. They pursue success just as they do their other interests and passions, learning and exploring everything that comes their way.",,Womens Fashion
Vanilla Moon,All week days - 11am to 10pm.,Grand Galleria,,,Vanilla Moon is a leading brand of womens fashion footwear in India. The Brand is aimed at the chic sophisticated urban lady who understands quality. The shoes are designed by a team of experienced Italian designers and great attention is given to quality control and manufacturing processes.,,"Foot Fashion, Bags, Luggage , Accessories"
Vans,All week days - 11am to 10pm.,Skyzone Ground Floor,,,"Vans is a United States-based manufacturer of sneakers, skateboarding shoes, BMX shoes, snowboarding boots, and other shoe types.",,General Fashion
Vero moda,All week days - 11am to 10pm.,Palladium First Level,,,Fashion is the foundation of Vero Modas existence. Vero Moda is contemporary international fashion with widespread appeal to young women all over the world. The ability to constantly follow trend developments and to adjust to the changing needs of the customers and the markets provides Vero Moda a solid and unique foothold within womens fashion clothing. Also providing the right product at the right time and at the right place helps the brand to serve fashion to its consumer at a faster pace.,,Womens Fashion
"Villeroy , Boch",All week days - 11am to 10pm.,Palladium Ground Floor,,,"Villeroy , Boch is one of the world’s largest producers of premium ceramics, making everything from coffee mugs to sinks. Our products include: plates, stemware, cutlery, sinks, baths and toilets. Villeroy , Boch is a highly innovative company with a time-honoured tradition. Since its origins over 260 years ago, the ceramics manufacturing company founded in 1748 has developed into an international lifestyle brand. Villeroy , Boch is represented in 125 countries around the world. The headquarters of the listed company are located in Mettlach in Saarland, Germany.",,"Home Decor / Accessories, Gifts , Hobbies"
VU TECHNOLOGIES,All week days - 11am to 10pm.,GG Connect,,,"VU is a California based Luxury Display Brand. Vu is the leader in innovative technology and the store houses the latest display products. Designed by Pinakin, the Vu Suite gives a luxurious and modern lounge look, which puts our clientele at ease and lets them experience the luxury in technology. The store is now open at The Palladium. The VU Suite at Palladium, High Street Phoenix, does not offer TVs on display, it offers an experience! Unlike most electronic and television stores which are cramped and stocked with products without much breathing space; at the Vu Suite one gets the feel of a lounge which allows you to experience each product at our own pace.",,"Electronics, Gizmos , Gadgets"
"Watches , More",All week days - 11am to 10pm.,Skyzone Ground Level,,,"Founded in the year 1981, the Rose Group, under the leadership of Mr. Biren Vaidya, is the purveyor of jewellery, watches and lifestyle accessories that range from fashion to high-end customized luxury. Over 25 leading International brands are marketed, distributed or retailed through 600 points of sales, across 45 cities in India, through the Rose Group!",,"Watches, Jewellery , Fashion Accessories"
William Penn,All week days - 11am to 10pm.,Grand Galleria,,,"William Penn - The World Pen Store, is Indias only multi-brand retail store chain housing the most premium brands in fine writing instruments, desktop and lifestyle accessories from the world over. William Penn currently features over 18 brands of fine writing instruments; from the world renowned Sheaffer, Cross and Waterman to the elite Conway Stewart, the luxury brands like Mont Blanc, Caran , ST Dupont, to the fashionable Cartier, the precision engineered Porsche Design, the practical Lamy and Pelikan and the true writing delight Sailor. William Penn also retails unique desktop and lifestyle accessories including gold-plated stationery by El Casco, elegant mens accessories by Dalvey, Sheaffer, exquisite leather accessories by Chamois. Its an ideal destination for Exclusive Gifting both individual and corporate.he store has introduced a novel concept of displaying Pen of the Month.",,"Home Decor / Accessories, Gifts , Hobbies"
Wills Lifestyle,All week days - 11am to 10pm.,Skyzone First Level,,,"TCs Wills Lifestyle presents a complete fashion wardrobe that complements every facet of your personality at work, when you are relaxed, while you party and for those special occasions. Discover a tempting range of designer wear, work wear, relaxed wear, Club Wear and fashion accessories.",,General Fashion
Wrangler,All week days - 11am to 10pm.,Skyzone Ground Level,,,Wrangler is one of the serious brands in denim wear giving you choices for both that casual and semi formal look.,,General Fashion
Zara,All week days - 11am to 10pm.,Palladium Ground Level,,,"The Spanish brand provides a wide choice of apparel both in casual and semi formal wear for men, women and children. The store also has a wide range of accessories for men and women. The store is now open at The Palladium",,"Department Stores, Mini Department Store"
Zodiac,All week days - 11am to 10pm.,High Street Units,,,"Zodiac is one of the largest shirt companies in the world and sells quality shirts to the best stores across the globe. Zodiac has been a quality manufacturer of fashion garments for the last 50 years and is considered to be one of the finest quality shirt makers. All shirts are made from the finest fabrics sourced worldwide so as to give quality, value for money products. Zodiac shirts offer quality at affordable prices ranging from Rs. 699 to Rs. 2,200.",,Mens Fashion
